epoch,step,test_accuracy,test_loss,test_precision,training_accuracy,training_loss,training_precision,validation_accuracy,validation_loss,validation_precision
10,5999,,,,0.9333333969116211,0.5046291947364807,0.9249999523162842,,,
10,6049,,,,0.8229166269302368,0.1494474858045578,0.8333333730697632,,,
10,6099,,,,0.9444444179534912,0.21710051596164703,0.9555555582046509,,,
10,6149,,,,0.6729166507720947,0.4450090527534485,0.7145833373069763,,,
10,6199,,,,0.8435185551643372,0.8786829710006714,0.8333333730697632,,,
10,6249,,,,0.8888888955116272,0.19094492495059967,0.875,,,
10,6299,,,,0.8633333444595337,0.5343104004859924,0.9047619104385376,,,
10,6349,,,,0.7555555701255798,0.2572130858898163,0.7925925850868225,,,
10,6399,,,,0.9688889384269714,0.1235557496547699,0.8999999761581421,,,
10,6449,,,,0.7916666865348816,0.17105945944786072,0.8416666984558105,,,
10,6499,,,,0.8121212720870972,0.2894274890422821,0.8240740895271301,,,
10,6549,,,,0.8796296119689941,0.2656330168247223,0.884920597076416,,,
10,6555,,,,,,,0.8262640833854675,0.4505154490470886,0.8242849707603455
11,6599,,,,0.934999942779541,0.17960824072360992,0.9083333611488342,,,
11,6649,,,,1.0,0.038444072008132935,1.0,,,
11,6699,,,,0.8222222328186035,0.3208385109901428,0.7333333492279053,,,
11,6749,,,,0.9753086566925049,0.14960063993930817,0.9555555582046509,,,
11,6799,,,,0.9357143044471741,0.14779646694660187,0.9323810338973999,,,
11,6849,,,,0.7592592239379883,0.5377264022827148,0.7518518567085266,,,
11,6899,,,,0.8194444179534912,0.3998394012451172,0.7888889312744141,,,
11,6949,,,,0.5611110925674438,0.7859469056129456,0.5774999856948853,,,
11,6999,,,,0.7666666507720947,0.44522392749786377,0.7633333802223206,,,
11,7049,,,,0.753333330154419,0.7664839029312134,0.7799999713897705,,,
11,7099,,,,0.8166667222976685,0.3481263816356659,0.8452380895614624,,,
11,7149,,,,0.7685185074806213,0.9420715570449829,0.7870370149612427,,,
11,7151,,,,,,,0.8362570405006409,0.4131888449192047,0.8383067846298218
12,7199,,,,0.8133333921432495,0.38640648126602173,0.8333333730697632,,,
12,7249,,,,0.9722222089767456,0.08294793218374252,0.9814814329147339,,,
12,7299,,,,0.9074074029922485,0.20357473194599152,0.8703703880310059,,,
12,7349,,,,0.7857142686843872,0.3264891505241394,0.7896825671195984,,,
12,7399,,,,0.9166666269302368,0.288644403219223,0.8765432238578796,,,
12,7449,,,,0.90625,0.36589792370796204,0.8916666507720947,,,
12,7499,,,,0.8444444537162781,0.3939749598503113,0.8333333134651184,,,
12,7549,,,,0.8916667103767395,0.2650876045227051,0.8833333253860474,,,
12,7599,,,,0.7925926446914673,0.20728462934494019,0.8518518209457397,,,
12,7649,,,,0.8291666507720947,0.4328063726425171,0.7649999856948853,,,
12,7699,,,,0.8566666841506958,0.410305917263031,0.7833333611488342,,,
12,7747,,,,,,,0.8251304030418396,0.42847052216529846,0.8294579982757568
13,7749,,,,0.8833333253860474,0.6556956171989441,0.8714286088943481,,,
13,7799,,,,0.9583333730697632,0.35832157731056213,0.8796296119689941,,,
13,7849,,,,0.7574074268341064,0.4631967842578888,0.7796295881271362,,,
13,7899,,,,0.9500000476837158,0.2542198896408081,0.9333332777023315,,,
13,7949,,,,0.9333333969116211,0.14436937868595123,0.9333333373069763,,,
13,7999,,,,0.760185182094574,0.6766603589057922,0.8074073791503906,,,
13,8049,,,,0.9666666984558105,0.132754847407341,0.9666666984558105,,,
13,8099,,,,0.8416666984558105,0.4632209241390228,0.8166666626930237,,,
13,8149,,,,0.9333333969116211,0.17627975344657898,0.9466666579246521,,,
13,8199,,,,0.8883333206176758,0.5015643835067749,0.8666666746139526,,,
13,8249,,,,0.7049999833106995,0.33072856068611145,0.746666669845581,,,
13,8299,,,,0.9444444179534912,0.18852438032627106,0.9500000476837158,,,
13,8343,,,,,,,0.832459032535553,0.40930822491645813,0.835813045501709
14,8349,,,,0.9259259700775146,0.22457560896873474,0.940740704536438,,,
14,8399,,,,0.779365062713623,0.38257482647895813,0.7978836297988892,,,
14,8449,,,,0.9593750238418579,0.23596690595149994,0.953125,,,
14,8499,,,,0.9074074029922485,0.1554138958454132,0.940740704536438,,,
14,8549,,,,0.7486772537231445,0.5498877763748169,0.8055555820465088,,,
14,8599,,,,0.8518518805503845,0.26801109313964844,0.7870370149612427,,,
14,8649,,,,0.9833333492279053,0.08161366730928421,0.9666666984558105,,,
14,8699,,,,0.949999988079071,0.32552003860473633,0.9457142949104309,,,
14,8749,,,,0.8300000429153442,0.19985774159431458,0.7916666865348816,,,
14,8799,,,,0.7833333611488342,0.3205468952655792,0.817460298538208,,,
14,8849,,,,0.8208333849906921,0.6432002186775208,0.8149999976158142,,,
14,8899,,,,0.8550000190734863,0.3548332750797272,0.8800000548362732,,,
14,8939,,,,,,,0.8212863206863403,0.42858296632766724,0.8229390978813171
15,8949,,,,0.8999999761581421,0.34778454899787903,0.9404761791229248,,,
15,8999,,,,0.8222222328186035,0.32211369276046753,0.7731481790542603,,,
15,9049,,,,0.8333333730697632,0.276309996843338,0.8166667222976685,,,
15,9099,,,,0.8291666507720947,0.2731595039367676,0.7291666865348816,,,
15,9149,,,,0.9814814329147339,0.10308367758989334,0.9629629850387573,,,
